Rx 0.254425 3 1 3 1054 464001
Rx 0.254425 3 1 3 1054 444001
Rx 0.254525 3 1 3 1054 524001
Rx 0.254525 3 1 3 1054 504001
Rx 0.254525 3 1 3 1054 484001
Rx 0.254525 3 1 3 1054 464001
Rx 0.254525 3 1 3 1054 444001
Rx 0.254625 3 1 3 1054 524001
Rx 0.254625 3 1 3 1054 504001
Rx 0.254625 3 1 3 1054 484001
Rx 0.254625 3 1 3 1054 464001
Rx 0.254625 3 1 3 1054 444001
Rx 0.254725 3 1 3 1054 524001
Rx 0.254725 3 1 3 1054 504001
Rx 0.254725 3 1 3 1054 484001
Rx 0.254725 3 1 3 1054 464001
Rx 0.254725 3 1 3 1054 444001
Rx 0.254825 3 1 3 1054 524001
Rx 0.254825 3 1 3 1054 504001
Rx 0.254825 3 1 3 1054 484001
Rx 0.254825 3 1 3 1054 464001
Rx 0.254825 3 1 3 1054 444001
Rx 0.254925 3 1 3 1054 524001
Rx 0.254925 3 1 3 1054 504001
Rx 0.254925 3 1 3 1054 484001
Rx 0.254925 3 1 3 1054 464001
Rx 0.254925 3 1 3 1054 444001
Rx 0.255025 3 1 3 1054 524001
Rx 0.255025 3 1 3 1054 504001
Rx 0.255025 3 1 3 1054 484001
Rx 0.255025 3 1 3 1054 464001
Rx 0.255025 3 1 3 1054 444001
Rx 0.255125 3 1 3 1054 524001
Rx 0.255125 3 1 3 1054 504001
Rx 0.255125 3 1 3 1054 484001
Rx 0.255125 3 1 3 1054 464001
Rx 0.255125 3 1 3 1054 444001
Rx 0.255225 3 1 3 1054 524001
Rx 0.255225 3 1 3 1054 504001
Rx 0.255225 3 1 3 1054 484001
Rx 0.255225 3 1 3 1054 464001
Rx 0.255225 3 1 3 1054 444001
Rx 0.255325 3 1 3 1054 524001
Rx 0.255325 3 1 3 1054 504001
Rx 0.255325 3 1 3 1054 484001
Rx 0.255325 3 1 3 1054 464001
Rx 0.255325 3 1 3 1054 444001
Rx 0.255425 3 1 3 1054 524001
Rx 0.255425 3 1 3 1054 504001
Rx 0.255425 3 1 3 1054 484001
Rx 0.255425 3 1 3 1054 464001
Rx 0.255425 3 1 3 1054 444001
Rx 0.255525 3 1 3 1054 524001
Rx 0.255525 3 1 3 1054 504001
Rx 0.255525 3 1 3 1054 484001
Rx 0.255525 3 1 3 1054 464001
Rx 0.255525 3 1 3 1054 444001
Rx 0.255625 3 1 3 1054 524001
Rx 0.255625 3 1 3 1054 504001
Rx 0.255625 3 1 3 1054 484001
Rx 0.255625 3 1 3 1054 464001
Rx 0.255625 3 1 3 1054 444001
Rx 0.255725 3 1 3 1054 524001
Rx 0.255725 3 1 3 1054 504001
Rx 0.255725 3 1 3 1054 484001
Rx 0.255725 3 1 3 1054 464001
Rx 0.255725 3 1 3 1054 444001
Rx 0.255825 3 1 3 1054 524001
Rx 0.255825 3 1 3 1054 504001
Rx 0.255825 3 1 3 1054 484001
Rx 0.255825 3 1 3 1054 464001
Rx 0.255825 3 1 3 1054 444001
Rx 0.255925 3 1 3 1054 524001
Rx 0.255925 3 1 3 1054 504001
Rx 0.255925 3 1 3 1054 484001
Rx 0.255925 3 1 3 1054 464001
Rx 0.255925 3 1 3 1054 444001
Rx 0.256025 3 1 3 1054 524001
Rx 0.256025 3 1 3 1054 504001
Rx 0.256025 3 1 3 1054 484001
Rx 0.256025 3 1 3 1054 464001
Rx 0.256025 3 1 3 1054 444001
Rx 0.256125 3 1 3 1054 524001
Rx 0.256125 3 1 3 1054 504001
Rx 0.256125 3 1 3 1054 484001
Rx 0.256125 3 1 3 1054 464001
Rx 0.256125 3 1 3 1054 444001
Rx 0.256225 3 1 3 1054 524001
