Tx 0.0267144 1 1 1 39 
Tx 0.0429286 1 1 1 15 
Tx 0.0429286 1 1 1 15 
Rx 0.512512 1 1 3 58 512397
Rx 0.525012 1 1 3 58 499836
Rx 0.537608 1 1 3 54 495679
Rx 0.537608 1 1 3 1454 494432
Rx 0.550212 1 1 3 54 469479
Rx 0.562712 1 1 3 1454 502759
Rx 0.562712 1 1 3 1454 501564
Rx 0.575412 1 1 3 54 415399
Rx 0.575512 1 1 3 54 448679
Rx 0.587821 1 1 3 1454 511079
Rx 0.587821 1 1 3 1454 509884
Rx 0.587821 1 1 3 1454 508689
Rx 0.587821 1 1 3 1454 507494
Rx 0.600612 1 1 3 54 415399
Rx 0.600712 1 1 3 54 415399
Rx 0.600817 1 1 3 54 498599
Rx 0.600817 1 1 3 54 497404
Rx 0.612933 1 1 3 1454 523559
Rx 0.612933 1 1 3 1454 522364
Rx 0.612933 1 1 3 1454 521169
Rx 0.612933 1 1 3 1454 519974
Rx 0.612933 1 1 3 1454 518779
Rx 0.612933 1 1 3 1454 517584
Rx 0.612933 1 1 3 1454 516389
Rx 0.614008 1 1 3 1454 1590234
Rx 0.625808 1 1 3 54 411239
Rx 0.625908 1 1 3 54 411239
Rx 0.626008 1 1 3 54 473639
Rx 0.626008 1 1 3 54 472444
Rx 0.626008 1 1 3 54 471249
Rx 0.626008 1 1 3 54 470054
Rx 0.626008 1 1 3 54 468859
Rx 0.626008 1 1 3 54 467664
Rx 0.638054 1 1 3 1454 544359
Rx 0.638054 1 1 3 1454 543164
Rx 0.638054 1 1 3 1454 541969
Rx 0.638054 1 1 3 1454 540774
Rx 0.638054 1 1 3 1454 539579
Rx 0.638054 1 1 3 1454 538384
Rx 0.638054 1 1 3 1454 537189
Rx 0.638054 1 1 3 1454 535994
Rx 0.638054 1 1 3 1454 534799
Rx 0.638054 1 1 3 1454 533604
Rx 0.638054 1 1 3 1454 532409
Rx 0.638054 1 1 3 1454 531214
Rx 0.638054 1 1 3 1454 530019
Rx 0.639108 1 1 3 1454 1583064
Rx 0.641112 1 1 3 1454 502759
Rx 0.641112 1 1 3 1454 501564
Rx 0.650908 1 1 3 54 494439
Rx 0.650908 1 1 3 54 493244
Rx 0.651008 1 1 3 54 486119
Rx 0.651008 1 1 3 54 484924
Rx 0.651008 1 1 3 54 483729
Rx 0.651008 1 1 3 54 482534
Rx 0.651008 1 1 3 54 481339
Rx 0.651108 1 1 3 54 440359
Rx 0.651108 1 1 3 54 439164
Rx 0.651108 1 1 3 54 437969
Rx 0.651108 1 1 3 54 436774
Rx 0.651108 1 1 3 54 435579
Rx 0.651108 1 1 3 54 434384
Rx 0.651108 1 1 3 54 433189
Rx 0.651108 1 1 3 54 431994
Rx 0.652008 1 1 3 54 1330799
Rx 0.663196 1 1 3 1454 585959
Rx 0.663196 1 1 3 1454 584764
Rx 0.663196 1 1 3 1454 583569
Rx 0.663196 1 1 3 1454 582374
Rx 0.663196 1 1 3 1454 581179
Rx 0.663196 1 1 3 1454 579984
Rx 0.663196 1 1 3 1454 578789
Rx 0.663196 1 1 3 1454 577594
Rx 0.663196 1 1 3 1454 576399
Rx 0.663196 1 1 3 1454 575204
Rx 0.663196 1 1 3 1454 574009
Rx 0.663196 1 1 3 1454 572814
Rx 0.663196 1 1 3 1454 571619
Rx 0.663196 1 1 3 1454 570424
Rx 0.663196 1 1 3 1454 569229
Rx 0.663196 1 1 3 1454 568034
Rx 0.663196 1 1 3 1454 566839
Rx 0.663196 1 1 3 1454 565644
Rx 0.663196 1 1 3 1454 564449
Rx 0.663196 1 1 3 1454 563254
Rx 0.663196 1 1 3 1454 562059
Rx 0.663196 1 1 3 1454 560864
Rx 0.663196 1 1 3 1454 559669
Rx 0.663196 1 1 3 1454 558474
Rx 0.663196 1 1 3 1454 557279
Rx 0.664208 1 1 3 1454 1568724
Rx 0.666225 1 1 3 1454 515239
Rx 0.666225 1 1 3 1454 514044
Rx 0.666225 1 1 3 1454 512849
Rx 0.666225 1 1 3 1454 511654
Rx 0.666225 1 1 3 1454 510459
Rx 0.666225 1 1 3 1454 509264
Rx 0.676008 1 1 3 54 486119
Rx 0.676008 1 1 3 54 484924
Rx 0.676008 1 1 3 54 483729
Rx 0.676008 1 1 3 54 482534
Rx 0.676108 1 1 3 54 448679
Rx 0.676108 1 1 3 54 447484
Rx 0.676108 1 1 3 54 446289
Rx 0.676108 1 1 3 54 445094
Rx 0.676108 1 1 3 54 443899
Rx 0.676108 1 1 3 54 442704
Rx 0.676108 1 1 3 54 441509
Rx 0.676108 1 1 3 54 440314
Rx 0.676108 1 1 3 54 439119
Rx 0.676108 1 1 3 54 437924
Rx 0.676108 1 1 3 54 436729
Rx 0.676108 1 1 3 54 435534
Rx 0.676108 1 1 3 54 434339
Rx 0.676108 1 1 3 54 433144
Rx 0.676108 1 1 3 54 431949
Rx 0.676208 1 1 3 54 530754
Rx 0.676208 1 1 3 54 411239
Rx 0.676208 1 1 3 54 410044
Rx 0.676208 1 1 3 54 408849
Rx 0.676308 1 1 3 54 507654
Rx 0.676308 1 1 3 54 506459
Rx 0.676308 1 1 3 54 505264
Rx 0.676308 1 1 3 54 504069
